"time","root.devdb.i483.sensors.s2510030.SCD41.co2"
2025-06-05 10:57:31,1206
2025-06-05 10:57:46,1205
2025-06-05 10:58:01,1204
2025-06-05 10:58:16,1203
2025-06-05 10:58:31,1202
2025-06-05 10:58:47,1201
2025-06-05 10:59:02,1200
2025-06-05 10:59:17,1199
2025-06-05 10:59:32,1200
2025-06-05 10:59:48,1199
2025-06-05 11:00:03,1198
2025-06-05 11:00:18,1196
2025-06-05 11:00:33,1195
2025-06-05 11:00:48,1195
2025-06-05 11:01:04,1194
2025-06-05 11:01:19,1195
2025-06-05 11:01:34,1199
2025-06-05 11:01:49,1200
2025-06-05 11:02:05,1201
2025-06-05 11:02:20,1202
2025-06-05 11:02:35,1213
2025-06-05 11:02:50,1220
2025-06-05 11:03:05,1230
2025-06-05 11:03:21,1239
2025-06-05 11:03:36,1246
2025-06-05 11:03:51,1251
2025-06-05 11:04:06,1251
2025-06-05 11:04:22,1251
2025-06-05 11:04:37,1251
2025-06-05 11:04:52,1252
2025-06-05 11:05:07,1254
2025-06-05 11:05:22,1258
2025-06-05 11:05:38,1258
2025-06-05 11:05:53,1262
2025-06-05 11:06:08,1268
2025-06-05 11:06:23,1271
2025-06-05 11:06:39,1277
2025-06-05 11:06:54,1279
2025-06-05 11:07:09,1280
2025-06-05 11:07:24,1287
2025-06-05 11:07:39,1293
2025-06-05 11:07:55,1297
2025-06-05 11:08:10,1300
2025-06-05 11:08:25,1304
2025-06-05 11:08:40,1309
2025-06-05 11:08:56,1315
2025-06-05 11:09:11,1314
2025-06-05 11:09:26,1314
2025-06-05 11:09:41,1310
2025-06-05 11:09:56,1313
2025-06-05 11:10:12,1317
2025-06-05 11:10:27,1319
2025-06-05 11:10:42,1318
2025-06-05 11:10:57,1315
2025-06-05 11:11:12,1317
2025-06-05 11:11:28,1322
2025-06-05 11:11:43,1327
2025-06-05 11:11:58,1328
2025-06-05 11:12:13,1329
2025-06-05 11:12:29,1331
2025-06-05 11:12:44,1332
2025-06-05 11:12:59,1335
2025-06-05 11:13:14,1335
2025-06-05 11:13:29,1337
2025-06-05 11:13:45,1338
2025-06-05 11:14:00,1338
2025-06-05 11:14:15,1340
2025-06-05 11:14:30,1344
2025-06-05 11:14:46,1345
2025-06-05 11:15:01,1348
2025-06-05 11:15:16,1349
2025-06-05 11:15:31,1349
2025-06-05 11:15:46,1350
2025-06-05 11:16:02,1351
2025-06-05 11:16:17,1350
2025-06-05 11:16:32,1351
2025-06-05 11:16:47,1352
2025-06-05 11:17:03,1352
2025-06-05 11:17:18,1352
2025-06-05 11:17:33,1352
2025-06-05 11:17:48,1351
2025-06-05 11:18:03,1349
2025-06-05 11:18:19,1346
2025-06-05 11:18:34,1345
2025-06-05 11:18:49,1343
2025-06-05 11:19:04,1343
2025-06-05 11:19:19,1341
2025-06-05 11:19:35,1341
2025-06-05 11:19:50,1341
2025-06-05 11:20:05,1340
2025-06-05 11:20:20,1339
2025-06-05 11:20:36,1338
2025-06-05 11:20:51,1336
2025-06-05 11:21:06,1335
2025-06-05 11:21:21,1334
2025-06-05 11:21:36,1333
2025-06-05 11:21:52,1332
2025-06-05 11:22:07,1331
2025-06-05 11:22:22,1331
2025-06-05 11:22:37,1329
2025-06-05 11:22:53,1329
2025-06-05 11:23:08,1328
2025-06-05 11:23:23,1328
2025-06-05 11:23:38,1328
2025-06-05 11:23:53,1328
2025-06-05 11:24:09,1327
2025-06-05 11:24:24,1327
2025-06-05 11:24:39,1327
2025-06-05 11:24:54,1328
2025-06-05 11:25:10,1327
2025-06-05 11:25:25,1325
2025-06-05 11:25:40,1299
2025-06-05 11:25:55,1299
2025-06-05 11:26:10,1303
2025-06-05 11:26:26,1306
2025-06-05 11:26:41,1306
2025-06-05 11:26:56,1311
2025-06-05 11:27:11,1314
2025-06-05 11:27:26,1314
2025-06-05 11:27:42,1314
2025-06-05 11:27:57,1315
2025-06-05 11:28:12,1316
2025-06-05 11:28:28,1319
2025-06-05 11:28:43,1317
2025-06-05 11:28:58,1310
2025-06-05 11:29:13,1294
2025-06-05 11:29:28,1280
2025-06-05 11:29:43,1276
2025-06-05 11:29:59,1277
2025-06-05 11:30:14,1276
2025-06-05 11:30:29,1276
2025-06-05 11:30:44,1279
2025-06-05 11:31:00,1283
2025-06-05 11:31:19,1285
2025-06-05 11:31:30,1285
2025-06-05 11:31:45,1285
2025-06-05 11:32:00,1286
2025-06-05 11:32:16,1288
2025-06-05 11:32:31,1290
2025-06-05 11:32:46,1290
2025-06-05 11:33:01,1289
2025-06-05 11:33:17,1289
2025-06-05 11:33:32,1289
2025-06-05 11:33:47,1290
2025-06-05 11:34:02,1290
2025-06-05 11:34:17,1289
2025-06-05 11:34:33,1288
2025-06-05 11:34:48,1288
2025-06-05 11:35:03,1287
2025-06-05 11:35:18,1287
2025-06-05 11:35:34,1286
2025-06-05 11:35:49,1284
2025-06-05 11:36:04,1281
2025-06-05 11:36:19,1280
2025-06-05 11:36:34,1278
2025-06-05 11:36:50,1278
2025-06-05 11:37:05,1277
2025-06-05 11:37:20,1275
2025-06-05 11:37:35,1274
2025-06-05 11:37:51,1272
2025-06-05 11:38:06,1271
2025-06-05 11:38:21,1271
2025-06-05 11:38:36,1268
2025-06-05 11:38:51,1266
2025-06-05 11:39:07,1263
2025-06-05 11:39:22,1261
2025-06-05 11:39:37,1261
2025-06-05 11:39:52,1260
2025-06-05 11:40:07,1259
2025-06-05 11:40:23,1259
2025-06-05 11:40:38,1258
2025-06-05 11:40:53,1258
2025-06-05 11:41:08,1257
2025-06-05 11:41:24,1255
2025-06-05 11:41:39,1254
2025-06-05 11:41:54,1252
2025-06-05 11:42:09,1252
2025-06-05 11:42:24,1251
2025-06-05 11:42:40,1251
2025-06-05 11:42:55,1250
2025-06-05 11:43:10,1250
2025-06-05 11:43:25,1249
2025-06-05 11:43:41,1247
2025-06-05 11:43:56,1246
2025-06-05 11:44:11,1247
2025-06-05 11:44:26,1246
2025-06-05 11:44:41,1244
2025-06-05 11:44:57,1240
2025-06-05 11:45:12,1240
2025-06-05 11:45:27,1238
2025-06-05 11:45:42,1238
2025-06-05 11:45:58,1238
2025-06-05 11:46:13,1239
2025-06-05 11:46:28,1237
2025-06-05 11:46:43,1237
2025-06-05 11:46:58,1237
2025-06-05 11:47:14,1236
2025-06-05 11:47:29,1234
2025-06-05 11:47:44,1234
2025-06-05 11:47:59,1233
2025-06-05 11:48:15,1232
2025-06-05 11:48:30,1231
2025-06-05 11:48:45,1230
2025-06-05 11:49:00,1229
2025-06-05 11:49:15,1230
2025-06-05 11:49:31,1229
2025-06-05 11:49:46,1228
2025-06-05 11:50:01,1229
2025-06-05 11:50:16,1229
2025-06-05 11:50:31,1229
2025-06-05 11:50:47,1227
2025-06-05 11:51:02,1226
2025-06-05 11:51:17,1225
2025-06-05 11:51:32,1223
2025-06-05 11:51:48,1223
2025-06-05 11:52:03,1223
2025-06-05 11:52:18,1222
2025-06-05 11:52:33,1222
2025-06-05 11:52:48,1221
2025-06-05 11:53:04,1220
2025-06-05 11:53:19,1219
2025-06-05 11:53:34,1217
2025-06-05 11:53:49,1217
2025-06-05 11:54:05,1215
2025-06-05 11:54:20,1214
2025-06-05 11:54:35,1214
2025-06-05 11:54:50,1214
2025-06-05 11:55:05,1213
2025-06-05 11:55:21,1212
2025-06-05 11:55:36,1210
2025-06-05 11:55:51,1210
2025-06-05 11:56:06,1208
2025-06-05 11:56:22,1209
2025-06-05 11:56:37,1209
2025-06-05 11:56:52,1206
2025-06-05 11:57:07,1206
2025-06-05 11:57:22,1203
2025-06-05 11:57:38,1203
2025-06-05 11:57:53,1201
2025-06-05 11:58:08,1200
2025-06-05 11:58:23,1200
2025-06-05 11:58:39,1200
2025-06-05 11:58:54,1200
2025-06-05 11:59:09,1199
2025-06-05 11:59:24,1198
2025-06-05 11:59:39,1199
2025-06-05 11:59:55,1198
2025-06-05 12:00:10,1198
2025-06-05 12:00:25,1197
2025-06-05 12:00:40,1197
2025-06-05 12:00:56,1197
2025-06-05 12:01:11,1197
2025-06-05 12:01:26,1196
2025-06-05 12:01:41,1197
2025-06-05 12:01:56,1196
2025-06-05 12:02:12,1195
2025-06-05 12:02:27,1195
2025-06-05 12:02:42,1191
2025-06-05 12:02:57,1190
2025-06-05 12:03:12,1189
2025-06-05 12:03:28,1188
2025-06-05 12:03:43,1189
2025-06-05 12:03:58,1188
2025-06-05 12:04:13,1188
2025-06-05 12:04:29,1187
2025-06-05 12:04:44,1186
