"time","root.devdb.i483.sensors.s2510030.SCD41.humidity response","root.devdb.i483.sensors.s2510030.analytics.SCD41.humidity.avg response","root.devdb.i483.sensors.s2510030.analytics.SCD41.humidity.max response","root.devdb.i483.sensors.s2510030.analytics.SCD41.humidity.min response"
2025-06-05 14:10:12,,73.6,,
2025-06-05 14:10:12,,,73.6,
2025-06-05 14:10:13,,,,73.6
2025-06-05 14:10:17,73.4,,,
2025-06-05 14:10:33,73.4,,,
2025-06-05 14:10:37,,73.5,,
2025-06-05 14:10:37,,,73.6,
2025-06-05 14:10:37,,,,73.4
2025-06-05 14:10:48,73.4,,,
2025-06-05 14:11:03,73.4,,,
2025-06-05 14:11:08,,73.4,,
2025-06-05 14:11:08,,,73.6,
2025-06-05 14:11:08,,,,73.4
2025-06-05 14:11:18,73.4,,,
2025-06-05 14:11:34,73.6,,,
2025-06-05 14:11:39,,73.4,,
2025-06-05 14:11:39,,,73.6,
2025-06-05 14:11:39,,,,73.4
2025-06-05 14:11:49,73.6,,,
2025-06-05 14:12:04,73.7,,,
2025-06-05 14:12:14,,73.5,,
2025-06-05 14:12:14,,,73.6,
2025-06-05 14:12:14,,,,73.4
2025-06-05 14:12:19,73.7,,,
2025-06-05 14:12:35,73.6,,,
2025-06-05 14:12:46,,73.5,,
2025-06-05 14:12:46,,,73.7,
2025-06-05 14:12:47,,,,73.4
2025-06-05 14:12:50,73.5,,,
2025-06-05 14:13:05,73.4,,,
2025-06-05 14:13:20,73.3,,,
2025-06-05 14:13:21,,73.5,,
2025-06-05 14:13:21,,,73.7,
2025-06-05 14:13:22,,,,73.4
2025-06-05 14:13:35,73.4,,,
2025-06-05 14:13:51,73.5,,,
2025-06-05 14:13:52,,73.5,,
2025-06-05 14:13:53,,,73.7,
2025-06-05 14:13:54,,,,73.3
2025-06-05 14:14:06,73.5,,,
2025-06-05 14:14:21,73.5,,,
2025-06-05 14:14:28,,73.5,,
2025-06-05 14:14:29,,,73.7,
2025-06-05 14:14:30,,,,73.3
2025-06-05 14:14:36,73.4,,,
2025-06-05 14:14:51,73.4,,,
2025-06-05 14:15:07,73.3,,,
2025-06-05 14:15:12,,73.5,,
2025-06-05 14:15:14,,,73.7,
2025-06-05 14:15:16,,,,73.3
2025-06-05 14:15:22,73.2,,,
2025-06-05 14:15:37,73.2,,,
2025-06-05 14:15:52,73.1,,,
2025-06-05 14:15:59,,73.5,,
2025-06-05 14:16:01,,,73.7,
2025-06-05 14:16:03,,,,73.3
2025-06-05 14:16:08,73.2,,,
2025-06-05 14:16:23,73.2,,,
2025-06-05 14:16:38,73.3,,,
2025-06-05 14:16:44,,73.5,,
2025-06-05 14:16:45,,,73.7,
2025-06-05 14:16:47,,,,73.2
2025-06-05 14:16:53,73.3,,,
2025-06-05 14:17:08,73.3,,,
2025-06-05 14:17:24,73.2,,,
2025-06-05 14:17:30,,73.4,,
2025-06-05 14:17:33,,,73.7,
2025-06-05 14:17:34,,,,73.1
2025-06-05 14:17:39,73.2,,,
2025-06-05 14:17:54,73.2,,,
2025-06-05 14:18:09,73.3,,,
2025-06-05 14:18:17,,73.4,,
2025-06-05 14:18:20,,,73.7,
2025-06-05 14:18:22,,,,73.1
2025-06-05 14:18:25,73.3,,,
2025-06-05 14:18:40,73.3,,,
2025-06-05 14:18:53,,73.4,,
2025-06-05 14:18:55,73.3,,,
2025-06-05 14:18:55,,,73.7,
2025-06-05 14:18:57,,,,73.1
2025-06-05 14:19:10,73.2,,,
2025-06-05 14:19:25,73.2,,,
2025-06-05 14:19:33,,73.3,,
2025-06-05 14:19:35,,,73.6,
2025-06-05 14:19:36,,,,73.1
2025-06-05 14:19:41,73.1,,,
2025-06-05 14:19:56,73.1,,,
2025-06-05 14:20:11,73.1,,,
2025-06-05 14:20:18,,73.3,,
2025-06-05 14:20:20,,,73.5,
2025-06-05 14:20:23,,,,73.1
2025-06-05 14:20:26,73.1,,,
2025-06-05 14:20:41,73.2,,,
2025-06-05 14:20:55,,73.3,,
2025-06-05 14:20:57,73.2,,,
2025-06-05 14:20:57,,,73.5,
2025-06-05 14:20:59,,,,73.1
2025-06-05 14:21:12,73.2,,,
2025-06-05 14:21:27,73.2,,,
2025-06-05 14:21:35,,73.3,,
2025-06-05 14:21:37,,,73.5,
