DPS310_temp,DPS310_pres,BH1750_lx,RPR0521RS_lx,RPR0521RS_inf,SCD41_co2,SCD41_temp,SCD41_humidity
22.40,991.70,56.14,51.74,10.18,2465,26.12,62.38
22.41,991.69,55.69,51.73,10.17,2462,25.74,63.62
22.42,991.69,55.69,51.73,10.17,2464,25.48,64.53
22.41,991.68,55.69,51.73,10.17,2453,25.24,65.42
22.40,991.68,55.69,51.72,10.17,2451,25.02,66.26
22.42,991.67,55.80,51.75,10.18,2446,24.79,67.05
22.42,991.67,55.92,51.99,10.23,2447,24.58,67.76
22.41,991.67,55.92,51.95,10.20,2443,24.23,69.09
22.41,991.66,55.58,51.69,10.15,2445,24.07,69.68
22.41,991.66,55.58,51.70,10.15,2444,23.93,70.21
22.41,991.65,55.58,51.69,10.15,2445,23.80,70.71
22.40,991.64,55.46,51.69,10.14,2445,23.65,71.20
22.40,991.64,55.46,51.67,10.14,2445,23.55,71.65
22.40,991.64,55.46,51.67,10.14,2448,23.44,72.04
22.40,991.64,55.58,51.82,10.18,2448,23.32,72.46
22.40,991.63,55.80,51.97,10.20,2448,23.25,72.81
22.40,991.63,55.69,51.96,10.19,2450,23.08,73.43
22.40,991.62,55.46,51.67,10.12,2451,23.02,73.75
22.40,991.62,55.35,51.62,10.11,2455,22.95,73.95
22.39,991.61,55.35,51.62,10.11,2459,22.88,74.24
22.40,991.61,55.35,51.61,10.11,2458,22.83,74.44
22.40,991.61,55.35,51.61,10.11,2458,22.78,74.63
22.40,991.61,55.35,51.57,10.08,2460,22.75,74.82
22.40,991.61,55.35,51.47,10.09,2460,22.71,74.98
22.41,991.61,54.90,51.71,10.16,2460,22.66,75.12
22.41,991.61,54.33,51.88,10.18,2458,22.58,75.36
22.40,991.60,54.67,51.56,10.12,2460,22.53,75.50
22.41,991.60,54.56,51.57,10.12,2460,22.52,75.63
22.41,991.60,54.56,51.56,10.12,2460,22.47,75.74
22.41,991.60,54.56,51.56,10.11,2460,22.46,75.83
22.40,991.59,54.56,51.55,10.11,2461,22.42,75.91
22.41,991.60,54.56,51.55,10.10,2461,22.41,75.93
22.42,991.59,54.67,51.65,10.12,2461,22.39,76.02
22.42,991.59,54.90,51.86,10.16,2462,22.38,76.02
22.42,991.59,54.78,51.83,10.16,2462,22.34,76.16
22.41,991.59,54.44,51.55,10.09,2462,22.31,76.18
22.42,991.59,54.44,51.51,10.08,2462,22.30,76.19
22.41,991.59,54.44,51.51,10.08,2464,22.28,76.19
22.42,991.59,54.44,51.51,10.08,2463,22.29,76.20
22.43,991.58,54.44,51.50,10.07,2464,22.24,76.21
22.43,991.58,54.33,51.49,10.07,2464,22.26,76.25
22.44,991.58,54.56,51.48,10.07,2465,22.21,76.26
22.44,991.58,54.67,51.80,10.12,2463,22.23,76.31
22.44,991.58,54.67,51.79,10.12,2462,22.19,76.28
22.44,991.57,54.33,51.47,10.05,2462,22.18,76.33
22.43,991.57,54.33,51.47,10.06,2460,22.19,76.35
22.43,991.57,54.22,51.46,10.05,2459,22.19,76.36
22.42,991.56,54.22,51.46,10.05,2460,22.17,76.37
22.42,991.56,54.22,51.45,10.05,2459,22.16,76.40
22.42,991.56,54.22,51.44,10.05,2458,22.17,76.38
22.42,991.55,54.22,51.46,10.06,2457,22.13,76.41
22.42,991.55,54.44,51.75,10.10,2454,22.13,76.37
22.43,991.54,54.44,51.61,10.08,2455,22.15,76.43
22.41,991.54,54.10,51.38,10.03,2454,22.14,76.43
22.41,991.53,54.10,51.37,10.02,2455,22.15,76.46
22.41,991.53,54.10,51.37,10.02,2455,22.10,76.44
22.41,991.53,53.99,51.36,10.01,2456,22.12,76.49
22.42,991.52,53.99,51.35,10.01,2456,22.10,76.53
22.40,991.52,53.99,51.34,10.01,2456,22.11,76.59
22.42,991.52,54.10,51.51,10.04,2455,22.12,76.57
22.41,991.51,54.44,51.66,10.07,2455,22.10,76.56
22.42,991.52,54.33,51.61,10.07,2454,22.11,76.63
22.41,991.51,53.99,51.40,10.00,2455,22.11,76.62
22.41,991.50,53.88,51.30,9.99,2453,22.12,76.66
22.41,991.49,53.88,51.29,9.99,2454,22.09,76.62
22.41,991.49,53.76,51.28,9.98,2455,22.12,76.67
22.41,991.49,53.76,51.26,9.97,2454,22.10,76.67
22.41,991.48,53.76,51.25,9.96,2455,22.09,76.61
22.42,991.48,53.76,51.25,9.96,2456,22.13,76.66
22.42,991.48,53.88,51.55,10.02,2455,22.11,76.64
22.42,991.48,53.88,51.53,10.01,2456,22.12,76.64
22.43,991.48,53.54,51.22,9.95,2456,22.09,76.59
22.42,991.47,53.54,51.21,9.94,2457,22.09,76.58
22.41,991.47,53.54,51.18,9.93,2456,22.10,76.56
22.40,991.46,53.43,51.18,9.92,2455,22.11,76.55
22.41,991.46,53.43,51.19,9.93,2450,22.09,76.53
22.41,991.46,53.54,51.16,9.90,2448,22.11,76.53
22.42,991.46,53.54,51.30,9.93,2445,22.09,76.50
22.42,991.46,53.88,51.47,9.96,2445,22.11,76.53
22.43,991.46,53.76,51.43,9.96,2446,22.10,76.53
22.42,991.46,53.43,51.20,9.90,2446,22.12,76.50
22.43,991.46,53.43,51.13,9.88,2446,22.09,76.50
22.43,991.45,53.31,51.11,9.87,2447,22.11,76.53
22.43,991.45,53.31,51.10,9.86,2447,22.11,76.53
22.42,991.45,53.31,51.08,9.86,2448,22.12,76.52
22.42,991.45,53.20,51.07,9.85,2447,22.11,76.53
22.41,991.45,53.31,51.06,9.84,2447,22.13,76.50
22.42,991.42,53.43,51.30,9.89,2450,22.13,76.53
22.42,991.45,53.31,51.25,9.89,2452,22.12,76.57
22.42,991.44,53.09,50.95,9.82,2453,22.12,76.59
22.42,991.44,52.86,50.94,9.81,2453,22.12,76.47
22.40,991.44,52.86,50.97,9.81,2453,22.13,76.55
22.40,991.44,52.86,50.96,9.80,2454,22.12,76.50
22.40,991.44,52.97,50.96,9.80,2454,22.10,76.49
22.39,991.43,52.97,50.95,9.80,2454,22.10,76.51
22.40,991.43,53.09,51.00,9.82,2454,22.12,76.47
22.41,991.44,53.31,51.23,9.85,2454,22.13,76.41
22.41,991.43,53.31,51.20,9.85,2454,22.13,76.35
22.40,991.43,52.97,51.07,9.79,2454,22.12,76.27
22.40,991.43,52.97,50.93,9.78,2452,22.12,76.24
22.39,991.43,52.86,50.91,9.77,2452,22.12,76.18
22.39,991.43,52.97,50.92,9.77,2449,22.12,76.16
22.39,991.43,52.97,50.91,9.77,2449,22.12,76.12
22.39,991.43,52.97,50.91,9.77,2445,22.13,76.13
22.39,991.43,52.97,50.91,9.77,2441,22.13,76.17
22.39,991.43,53.31,51.17,9.83,2440,22.13,76.18
22.41,991.43,53.31,51.21,9.82,2441,22.15,76.17
22.39,991.43,52.97,50.88,9.76,2440,22.14,76.11
22.40,991.43,52.63,50.84,9.77,2439,22.15,76.11
22.40,991.43,52.52,50.93,9.77,2437,22.13,76.04
22.40,991.43,52.86,50.95,9.77,2436,22.17,76.08
22.40,991.43,52.86,50.92,9.77,2436,22.13,76.04
22.39,991.43,52.86,50.90,9.77,2435,22.16,76.10
22.40,991.43,52.86,50.96,9.77,2434,22.14,76.11
22.41,991.43,52.97,51.20,9.82,2433,22.16,76.12
22.41,991.42,52.97,51.20,9.82,2433,22.16,76.10
22.41,991.42,52.75,51.06,9.77,2431,22.16,76.14
22.41,991.42,52.75,50.90,9.75,2431,22.16,76.16
22.40,991.42,52.75,50.90,9.75,2431,22.15,76.15
22.41,991.41,52.75,50.91,9.75,2432,22.14,76.13
22.41,991.41,52.75,50.87,9.75,2432,22.14,76.12
22.40,991.41,52.63,50.87,9.74,2433,22.18,76.17
22.41,991.41,52.63,50.86,9.74,2434,22.14,76.12
22.42,991.40,52.97,51.17,9.82,2437,22.15,76.14
22.41,991.40,53.09,51.19,9.80,2437,22.17,76.15
22.40,991.40,52.75,50.91,9.75,2438,22.16,76.10
22.40,991.39,52.75,50.84,9.73,2438,22.16,76.11
22.41,991.39,52.52,50.82,9.73,2438,22.16,76.16
22.41,991.39,52.52,50.88,9.74,2439,22.17,76.16
22.42,991.38,52.75,50.86,9.73,2439,22.15,76.11
22.41,991.38,52.75,50.86,9.73,2439,22.15,76.09
22.41,991.38,52.75,50.84,9.73,2438,22.14,76.05
22.42,991.37,52.86,51.13,9.79,2438,22.16,76.07
22.42,991.37,52.86,51.14,9.79,2438,22.15,76.07
22.40,991.36,52.75,50.82,9.72,2439,22.15,76.08
22.42,991.36,52.63,50.81,9.72,2440,22.15,76.06
22.41,991.36,52.63,50.82,9.72,2440,22.15,76.08
22.41,991.35,52.63,50.86,9.72,2439,22.14,76.03
22.41,991.35,52.63,50.83,9.72,2440,22.16,76.04
22.42,991.35,52.63,50.83,9.72,2438,22.14,76.05
22.42,991.34,52.63,50.84,9.72,2439,22.14,76.05
22.43,991.35,52.97,51.23,9.79,2439,22.15,76.06
22.42,991.34,53.09,51.23,9.78,2439,22.14,76.04
22.41,991.34,52.63,51.01,9.74,2438,22.13,76.08
22.42,991.34,52.52,50.81,9.71,2438,22.13,76.08
22.42,991.34,52.52,50.79,9.70,2438,22.14,76.10
22.43,991.34,52.52,50.78,9.70,2438,22.13,76.07
22.42,991.33,52.41,50.75,9.69,2437,22.13,76.08
22.42,991.33,52.41,50.74,9.68,2438,22.12,76.08
22.42,991.33,52.41,50.77,9.68,2436,22.14,76.09
22.42,991.33,52.63,50.98,9.73,2436,22.11,76.07
22.43,991.33,52.75,51.03,9.76,2435,22.14,76.08
22.42,991.33,52.52,50.80,9.69,2434,22.11,76.09
22.42,991.33,52.41,50.73,9.67,2434,22.13,76.07
22.41,991.32,52.41,50.73,9.67,2433,22.11,76.08
22.41,991.32,52.29,50.72,9.67,2434,22.13,76.12
22.42,991.32,52.29,50.70,9.66,2433,22.12,76.12
22.41,991.32,52.29,50.70,9.66,2433,22.13,76.13
22.41,991.32,52.29,50.73,9.66,2433,22.11,76.15
22.42,991.32,52.52,51.00,9.70,2433,22.11,76.20
22.44,991.32,52.52,50.97,9.71,2434,22.13,76.22
22.42,991.31,52.29,50.85,9.68,2435,22.13,76.22
22.43,991.31,52.18,50.66,9.64,2435,22.16,76.25
22.43,991.31,52.18,50.65,9.63,2439,22.13,76.23
22.43,991.31,52.18,50.64,9.63,2440,22.16,76.29
22.43,991.31,52.18,50.64,9.63,2443,22.13,76.28
22.44,991.31,52.07,50.62,9.62,2444,22.13,76.25
22.44,991.30,52.07,50.66,9.63,2447,22.15,76.22
22.45,991.30,52.52,50.86,9.68,2447,22.12,76.18
22.45,991.30,52.52,50.93,9.67,2447,22.13,76.18
22.45,991.30,52.07,50.66,9.61,2447,22.13,76.10
22.45,991.29,52.07,50.62,9.61,2447,22.15,76.11
22.45,991.29,52.07,50.61,9.60,2447,22.14,76.11
22.45,991.29,51.95,50.59,9.60,2447,22.12,76.13
22.45,991.28,51.95,50.59,9.60,2447,22.15,76.15
22.43,991.28,51.95,50.59,9.60,2447,22.13,76.13
22.43,991.28,51.95,50.59,9.59,2447,22.13,76.12
22.44,991.27,52.18,50.90,9.66,2448,22.15,76.19
22.44,991.27,52.29,50.87,9.65,2448,22.14,76.17
22.43,991.27,52.07,50.81,9.64,2450,22.14,76.15
22.43,991.26,51.95,50.59,9.59,2450,22.13,76.14
22.44,991.26,51.95,50.59,9.59,2449,22.12,76.12
22.44,991.25,51.95,50.59,9.58,2448,22.12,76.09
22.45,991.25,51.95,50.57,9.58,2448,22.14,76.11
22.44,991.25,51.95,50.57,9.57,2447,22.13,76.11
22.45,991.24,51.95,50.55,9.57,2448,22.13,76.13
22.46,991.24,52.18,50.84,9.63,2448,22.14,76.11
22.47,991.24,52.18,50.82,9.64,2448,22.15,76.13
22.45,991.23,51.95,50.71,9.59,2447,22.15,76.12
22.46,991.22,51.84,50.53,9.55,2448,22.15,76.12
22.46,991.22,51.84,50.52,9.55,2449,22.14,76.11
22.46,991.22,51.84,50.51,9.55,2449,22.13,76.05
22.46,991.21,51.84,50.51,9.55,2449,22.16,76.13
22.46,991.20,51.73,50.50,9.54,2449,22.15,76.05
22.46,991.20,51.73,50.49,9.54,2448,22.14,76.08
22.46,991.20,52.07,50.71,9.59,2449,22.16,76.09
22.46,991.20,52.07,50.80,9.58,2450,22.15,76.10
22.45,991.19,51.84,50.48,9.53,2449,22.15,76.05
22.45,991.19,51.61,50.45,9.51,2449,22.15,76.04
22.45,991.19,51.61,50.45,9.51,2449,22.13,76.02
22.45,991.19,51.61,50.44,9.50,2447,22.16,76.03
22.45,991.18,51.61,50.42,9.50,2447,22.15,76.05
22.46,991.18,51.50,50.40,9.49,2446,22.14,76.04
22.45,991.18,51.50,50.39,9.49,2447,22.15,76.05
22.45,991.18,51.73,50.69,9.55,2447,22.14,76.07
22.45,991.17,51.73,50.64,9.55,2446,22.16,76.05
22.44,991.17,51.50,50.56,9.51,2447,22.15,76.09
22.44,991.17,51.39,50.35,9.47,2448,22.16,76.10
22.43,991.16,51.39,50.35,9.46,2445,22.15,76.07
22.44,991.16,51.39,50.35,9.46,2445,22.14,76.11
22.44,991.16,51.39,50.32,9.46,2444,22.17,76.11
22.43,991.16,51.39,50.32,9.46,2444,22.16,76.08
22.43,991.15,51.27,50.33,9.45,2444,22.15,76.11
22.45,991.15,51.73,50.50,9.49,2445,22.16,76.14
22.45,991.15,51.73,50.60,9.50,2445,22.17,76.12
22.44,991.14,51.39,50.37,9.44,2445,22.18,76.17
22.45,991.14,51.27,50.29,9.43,2446,22.18,76.16
22.45,991.14,51.27,50.29,9.43,2446,22.16,76.14
22.45,991.13,51.27,50.29,9.43,2447,22.20,76.15
22.46,991.13,51.27,50.28,9.43,2447,22.19,76.12
22.46,991.13,51.27,50.28,9.42,2447,22.19,76.10
22.46,991.12,51.27,50.28,9.42,2447,22.18,76.08
22.47,991.12,51.39,50.57,9.48,2447,22.20,76.08
22.47,991.12,51.50,50.57,9.47,2447,22.19,76.06
22.46,991.11,51.39,50.52,9.45,2447,22.17,76.00
22.46,991.10,51.16,50.25,9.41,2446,22.18,76.02
22.47,991.10,51.16,50.24,9.41,2446,22.18,76.04
22.47,991.10,51.16,50.27,9.41,2447,22.19,76.03
22.46,991.09,51.16,50.29,9.42,2448,22.18,76.02
22.46,991.09,51.39,50.23,9.40,2449,22.19,76.06
22.46,991.09,51.05,50.46,9.45,2452,22.19,76.07
